Feature,Importance
o2used,0.5614270527467013
totmembers,0.1994840851091841
season_Spring,0.04127212740767584
nation_Nepal,0.036322062702863964
nation_China,0.025123985549223623
nation_France,0.013316949318064793
nation_Japan,0.012799149658225619
nation_India,0.012508574299964041
season_Winter,0.007526068108380031
nation_Germany,0.007342270355054384
nation_Austria,0.007244382856396986
nation_Spain,0.0065207760743191895
nation_Russia,0.006269139715956076
nation_Iran,0.005984090743899251
nation_Switzerland,0.005627689001219175
nation_Slovakia,0.005572445753527847
nation_USA,0.004611161995286035
nation_Czech Republic,0.004528435300062084
season_Summer,0.004088906225257666
nation_Italy,0.00375782369809962
nation_UK,0.0033844320752318057
primrte,0.0031224097607733536
nation_S Korea,0.0027655204760565046
nation_New Zealand,0.0025913102042018476
nation_Norway,0.002577123586168298
nation_Ukraine,0.002526300884461073
nation_Poland,0.0021280236281324876
nation_Australia,0.0017802825363931031
nation_W Germany,0.001763361189827283
nation_Canada,0.001333164636015791
nation_Slovenia,0.0009409463014229092
nation_Netherlands,0.0009249276441863422
nation_Belgium,0.0007265416222578084
nation_Romania,0.0006455936225241278
nation_Sweden,0.00046269516543386425
nation_Denmark,0.0002811046605979831
nation_Argentina,0.0002334778444518585
nation_Mexico,0.0002176317929730576
nation_Yugoslavia,0.00014134463062150958
nation_Chile,8.488217535400424e-05
nation_Ecuador,4.1748943553298916e-05
nation_Guatemala,0.0
nation_Singapore,0.0
nation_Bangladesh,0.0
nation_Sri Lanka,0.0
nation_Belarus,0.0
nation_Bhutan,0.0
nation_Bolivia,0.0
nation_Serbia,0.0
nation_Saudi Arabia,0.0
nation_San Marino,0.0
nation_Bosnia-Herzegovina,0.0
nation_S Africa,0.0
nation_Brazil,0.0
nation_Bulgaria,0.0
nation_Bahrain,0.0
nation_Taiwan,0.0
nation_Thailand,0.0
nation_Tunisia,0.0
nation_Turkey,0.0
nation_UAE,0.0
nation_Armenia,0.0
nation_UK/USA,0.0
nation_Andorra,0.0
nation_USSR,0.0
nation_Albania,0.0
nation_Uruguay,0.0
nation_Uzbekistan,0.0
nation_Venezuela,0.0
nation_Vietnam,0.0
season_Unknown,0.0
nation_W Germany/Iran,0.0
nation_Portugal,0.0
nation_Philippines,0.0
nation_Hong Kong,0.0
nation_Peru,0.0
nation_Hungary,0.0
nation_Iceland,0.0
nation_Greece,0.0
nation_Indonesia,0.0
nation_Germany/Iran,0.0
nation_Ireland,0.0
nation_Israel,0.0
nation_Georgia,0.0
nation_Finland,0.0
nation_Jordan,0.0
nation_Kazakhstan,0.0
nation_Kenya,0.0
nation_Estonia,0.0
nation_Kyrgyz Republic,0.0
nation_Latvia,0.0
nation_Lebanon,0.0
nation_Liechtenstein,0.0
nation_Lithuania,0.0
nation_Macedonia,0.0
nation_Malaysia,0.0
nation_Malta,0.0
nation_Mongolia,0.0
nation_Myanmar,0.0
nation_Czechoslovakia,0.0
nation_Nepal/Australia,0.0
nation_Cyprus,0.0
nation_Croatia,0.0
nation_Colombia,0.0
nation_Pakistan,0.0
nation_Kosovo,0.0
